5 digit NTD ID,4 digit NTD ID,Agency,Active,Reporter Type,UZA,UZA Name,Modes,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
40135,4135,Georgia Regional Transportation Authority,Inactive,Full Reporter,9,Atlanta GA,CB,PT,0,0,0,0,0,0,0,0,0,0,1791154,1766485,1686386,1564445,1575836,819854,0,0,0,0,0
40135,4135,Georgia Regional Transportation Authority,Inactive,Full Reporter,9,Atlanta GA,DR,PT,0,0,0,0,0,27594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40135,4135,Georgia Regional Transportation Authority,Inactive,Full Reporter,9,Atlanta GA,MB,PT,0,3711670,7039588,8339353,6169184,2575826,1744354,1470934,1610176,1705241,0,0,0,0,0,0,0,0,0,0,0
40135,4135,Georgia Regional Transportation Authority,Inactive,Full Reporter,9,Atlanta GA,VP,DO,0,2414,21475,196971,285510,175154,184763,131854,0,0,0,0,0,0,0,0,0,0,0,0,0
40135,4135,Georgia Regional Transportation Authority,Inactive,Full Reporter,9,Atlanta GA,VP,PT,0,90178,0,0,0,0,0,235031,298280,292175,180982,0,0,0,0,0,0,0,0,0,0
40138,4138,Gwinnett County Board of Commissioners,Active,Full Reporter,9,Atlanta GA,CB,PT,0,0,0,0,0,0,0,0,0,0,0,667829,632169,582089,474365,376517,403391,417245,129111,80482,46063
40138,4138,Gwinnett County Board of Commissioners,Active,Full Reporter,9,Atlanta GA,DR,PT,0,2013,3527,4666,6427,10610,15340,14754,17035,18372,19394,21938,27194,28812,27450,23241,39837,49301,19032,20342,9888
40138,4138,Gwinnett County Board of Commissioners,Inactive,Full Reporter,9,Atlanta GA,DR,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,2313,0,0,0,0
40138,4138,Gwinnett County Board of Commissioners,Active,Full Reporter,9,Atlanta GA,MB,PT,0,836559,1570711,1860350,1986041,1957357,2110477,2304741,2100071,2246396,2007139,1155455,1058935,975461,994633,1035561,1075995,1084022,779838,728343,379822
40142,4142,City of Canton Transit,Inactive,Full Reporter,11,Atlanta GA,MB,DO,0,0,0,0,0,42850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40142,4142,City of Canton Transit,Inactive,Full Reporter,11,Atlanta GA,MB,PT,0,0,0,0,48996,45850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
